Date,Open
2-5-2021,552.26001
2-8-2021,555
2-9-2021,546
2-10-2021,562.5
2-11-2021,564.440002
2-12-2021,556.940002
2-16-2021,557.289978
2-17-2021,550.98999
2-18-2021,549
2-19-2021,548
2-22-2021,534.98999
2-23-2021,525
2-24-2021,539.799988
2-25-2021,550.27002
2-26-2021,546.51001
3-1-2021,545.570007
3-2-2021,553.340027
3-3-2021,545.929993
3-4-2021,521.5
3-5-2021,511.980011
3-8-2021,514.460022
3-9-2021,507.309998
3-10-2021,513.5
3-11-2021,512.200012
3-12-2021,512.5
3-15-2021,516.320007
3-16-2021,524.469971
3-17-2021,522
3-18-2021,516.400024
3-19-2021,504.959991
3-22-2021,509.130005
3-23-2021,529.869995
3-24-2021,533.780029
3-25-2021,516.98999
3-26-2021,502.820007
3-29-2021,505.660004
3-30-2021,510.51001
3-31-2021,515.669983
4-1-2021,529.929993
4-5-2021,540.01001
4-6-2021,544.809998
4-7-2021,543.5
4-8-2021,551.130005
4-9-2021,552.690002
4-12-2021,551.049988
4-13-2021,557
4-14-2021,554.869995
4-15-2021,544.169983
4-16-2021,550.539978
4-19-2021,546.900024
4-20-2021,554.419983
4-21-2021,508
4-22-2021,513.820007
4-23-2021,509.01001
4-26-2021,506.76001
4-27-2021,512.619995
4-28-2021,505.200012
4-29-2021,507.600006
4-30-2021,505
5-3-2021,512.650024
5-4-2021,510.779999
5-5-2021,504.98999
5-6-2021,495.98999
5-7-2021,504.619995
5-10-2021,502
5-11-2021,479.75
5-12-2021,486.829987
5-13-2021,489.130005
5-14-2021,487.859985
5-17-2021,485.589996
5-18-2021,488.399994
5-19-2021,481.630005
5-20-2021,489.549988
5-21-2021,503.119995
5-24-2021,501.049988
5-25-2021,506
5-26-2021,502.339996
5-27-2021,501.799988
5-28-2021,504.399994
6-1-2021,504.01001
6-2-2021,499.820007
6-3-2021,495.190002
6-4-2021,492
6-7-2021,492.920013
6-8-2021,497
6-9-2021,494.5
6-10-2021,487.170013
6-11-2021,490
6-14-2021,489.679993
6-15-2021,501.230011
6-16-2021,495
6-17-2021,490.25
6-18-2021,496.399994
6-21-2021,501.640015
6-22-2021,498.540009
6-23-2021,508.480011
6-24-2021,517.960022
6-25-2021,528.840027
6-28-2021,528.119995
6-29-2021,533.549988
6-30-2021,534.059998
7-1-2021,525.719971
7-2-2021,535.5
7-6-2021,533
7-7-2021,544.23999
7-8-2021,530.929993
7-9-2021,531
7-12-2021,540.299988
7-13-2021,535.76001
7-14-2021,541.01001
7-15-2021,553.969971
7-16-2021,541.809998
7-19-2021,526.049988
7-20-2021,526.070007
7-21-2021,526.130005
7-22-2021,510.209991
7-23-2021,512.159973
7-26-2021,514.380005
7-27-2021,518.080017
7-28-2021,521.820007
7-29-2021,519.960022
7-30-2021,512.690002
8-2-2021,519
8-3-2021,514.390015
8-4-2021,513
8-5-2021,517.130005
8-6-2021,524
8-9-2021,521.150024
8-10-2021,520
8-11-2021,517
8-12-2021,511.859985
8-13-2021,512.640015
8-16-2021,515.23999
8-17-2021,515.469971
8-18-2021,520
8-19-2021,522.73999
8-20-2021,545.090027
8-23-2021,545.97998
8-24-2021,551.47998
8-25-2021,550.159973
8-26-2021,546.159973
8-27-2021,551.599976
8-30-2021,557.25
8-31-2021,566.119995
9-1-2021,569
9-2-2021,583.679993
9-3-2021,585.799988
9-7-2021,594.690002
9-8-2021,603.840027
9-9-2021,606.469971
9-10-2021,598.159973
9-13-2021,598.570007
9-14-2021,584.890015
9-15-2021,578.169983
9-16-2021,584.299988
9-17-2021,587.849976
9-20-2021,586.789978
9-21-2021,578.309998
9-22-2021,579.690002
9-23-2021,590.789978
9-24-2021,592.5
9-27-2021,587.950012
9-28-2021,589
9-29-2021,589.01001
9-30-2021,608.049988
10-1-2021,604.23999
10-4-2021,613.390015
10-5-2021,606.940002
10-6-2021,628.179993
10-7-2021,642.22998
10-8-2021,634.169983
10-11-2021,633.200012
10-12-2021,633.02002
10-13-2021,632.179993
10-14-2021,632.22998
10-15-2021,638
10-18-2021,632.099976
10-19-2021,636.969971
10-20-2021,625.570007
10-21-2021,628.890015
10-22-2021,651.809998
10-25-2021,663.73999
10-26-2021,673.76001
10-27-2021,669
10-28-2021,670.950012
10-29-2021,673.059998
11-1-2021,689.059998
11-2-2021,683.109985
11-3-2021,677.27002
11-4-2021,685.890015
11-5-2021,663.969971
11-8-2021,650.289978
11-9-2021,653.700012
11-10-2021,653.01001
11-11-2021,650.23999
11-12-2021,660.01001
11-15-2021,681.23999
11-16-2021,678.27002
11-17-2021,690
11-18-2021,691.609985
11-19-2021,692.349976
11-22-2021,676.02002
11-23-2021,658.179993
11-24-2021,658.01001
11-26-2021,675
11-29-2021,663.200012
11-30-2021,668.200012
12-1-2021,649.47998
12-2-2021,617.099976
12-3-2021,622.75
12-6-2021,606.01001
12-7-2021,619.830017
12-8-2021,630
12-9-2021,627.580017
12-10-2021,616.780029
12-13-2021,612
12-14-2021,598.710022
12-15-2021,598.179993
12-16-2021,597.090027
12-17-2021,591.609985
12-20-2021,586.429993
12-21-2021,597.539978
12-22-2021,603.359985
12-23-2021,616.400024
12-27-2021,615
12-28-2021,614.950012
12-29-2021,610.710022
12-30-2021,612.98999
12-31-2021,610.01001
1-3-2022,605.609985
1-4-2022,599.909973
1-5-2022,592
1-6-2022,554.340027
1-7-2022,549.460022
1-10-2022,538.48999
1-11-2022,536.98999
1-12-2022,544.27002
1-13-2022,537.059998
1-14-2022,517.599976
1-18-2022,520.080017
1-19-2022,515
1-20-2022,517.75
1-21-2022,400.429993
1-24-2022,383.910004
1-25-2022,379.140015
1-26-2022,378.269989
1-27-2022,382.059998
1-28-2022,386.76001
1-31-2022,401.970001
2-1-2022,432.959991
2-2-2022,448.25
2-3-2022,421.440002
2-4-2022,407.309998
